CURRENT_PUBLISHER,PUBLISHER,SOURCE,IGNORE
Clinical Pediatrics,Sage Publications,Clinical Pediatrics,
Clinical Pharmacology and Therapeutics,Nature Publishing Group,Clinical Pharmacology and Therapeutics,
Clinical Psychology review,Elsevier,Clinical Psychology Review,
Clinical Rehabilitation,Sage Publications,Clinical Rehabilitation,
Clinical Research Unit for Anxiety and Depression,Clinical Research Unit for Anxiety and Depression,,
Clinical Rheumatology,Springer,Clinical Rheumatology,
Clinical Science (London),,,1
Clinical Therapeutics,Elsevier,Clinical Therapeutics,
Clinics in Chest Medicine,Elsevier,Clinics in Chest Medicine,
CLINKS,CLINKS,,
CLIP Database,CLIP Database,,
CMAJ,Canadian Medical Association,Canadian Medical Association Journal,
CMPMedica,UBM Medica,Oncology,
CNN,,,1
CNS Drugs,Adis International,CNS Drugs,
Co-Action Publishing,Co-Action Publishing,,
"Cochlear Fluids Research Laboratory, Washington University","Cochlear Fluids Research Laboratory, Washington University",,
Cochrane Cancer Network,Cochrane Collaboration,Cochrane Cancer Network,
The Cochrane Central Register of Controlled Trials (CENTRAL) 2006,Cochrane Central Register of Controlled Trials (CENTRAL) 2006,,1
Cochrane Child Health Field,Cochrane Collaboration,Cochrane Child Health Field,
The Cochrane Collaboration,Cochrane Collaboration,,
Cochrane Collaboration,Cochrane Collaboration,,
Cochrane Renal Group,Cochrane Collaboration,Cochrane Renal Group,
CogNexus Institute,CogNexus Institute,,
"Cognition, Elsevier Ltd.",Elsevier,Cognition,
Co-Intelligence Institute,Co-Intelligence Institute,,
"Collaborative project, Wellcome Institute",,,1
The College of Emergency Medicine,College of Emergency Medicine (CEM),,
College of Emergency Medicine (CEM),College of Emergency Medicine (CEM),,
College of Emergency Medicine (CEM) and Doctor.net,College of Emergency Medicine (CEM),,
College of Emergency Medicine (CEM) and the BMJ,College of Emergency Medicine (CEM),,
"College of Medicine, University of Florida",,,1
College of Occupational Therapists,College of Occupational Therapists,,
The College of Occupational Therapists,College of Occupational Therapists,,
College of Operating Department Practitioners (CODP),College of Operating Department Practitioners (CODP),,
The College of Optometrists,College of Optometrists,,
College of Optometrists & British Geriatrics Society,College of Optometrists,,
College of Physicians and Surgeons of Ontario,College of Physicians,,
Colleges of Medicine of South Africa (CMSA),Colleges of Medicine of South Africa (CMSA),,
Collegium Antropologicum,Croatian Anthropological Society,Collegium Antropologicum,
Colorectal Disease,Wiley-Blackwell,Colorectal Disease,
Combined European Bureau for Social Development (CEBSD),Combined European Bureau for Social Development (CEBSD),,
Commission for Architecture and the Built Environment,Commission for Architecture and the Built Environment,,
Commission for Health Improvement (CHI),Commission for Health Improvement (CHI),,
Commission for Healthcare Audit and Inspection,Commission for Healthcare Audit and Inspection,,
Commission for Racial Equality,Commission for Racial Equality,,
Commission for Rural Communities,Commission for Rural Communities,,
Commission for Social Care Inspection (CSCI),Commission for Social Care Inspection (CSCI),,
Commission for the Compact,Commission for the Compact,,
Commission of the European Communities,European Commission,,
Commission on the Future of Health Care in Canada,Commission on the Future of Health Care in Canada,,
Commissioning Business Service,Commissioning Business Service,,
Commissioning for the Long Term,Commissioning for the Long Term,,
Commissioning Health,Andy Cowper,Commissioning Health,
The Commissioning Institute,Commissioning Institute,,
The Commissioning Institute; Humana,Commissioning Institute,,
Commissioning Support for London,Commissioning Support for London ,,
Commissioning Support Programme,Commissioning Support Programme,,
Committee on Safety of Medicines,Committee on Safety of Medicines,,
Commonwealth Centre for Electronic Governance,Commonwealth Centre for Electronic Governance,,
The Commonwealth Fund,Commonwealth Fund,,
Commonwealth Fund,Commonwealth Fund,,
Commonwealth of Australia,Commonwealth of Australia,,
Communities and Local Government,Communities and Local Government,,
Communities and neighbourhoods,Communities and neighbourhoods,,
Communities Scotland,,,1
Community Care,Reed Business Information Ltd,Community Care,
Community Dental Health,FDI World Dental Federation,Community Dental Health,
Community Dentistry And Oral Epidemiology,Wiley-Blackwell,Community Dentistry And Oral Epidemiology,
Community Dialogue,Community Dialogue,,
Community Health Exchange- CHEX,Community Health Exchange - CHEX,,
Community Hospitals Association,Community Hospitals Association,,
Community Knowledge,,,1
Community Living,Community Living,,
Community practitioner : the journal of the Community Practitioner' & Health Visitors' Association,Community Practitioners' and Health Visitors' Association,Community practitioner ,
Community Service Volunteers,Community Service Volunteers,,
Compact,Compact,,
Complementary and Natural Healthcare Council (CNHC),Complementary and Natural Healthcare Council (CNHC),,
Complementary therapies in medicine,Elsevier,Complementary therapies in medicine,
Confederation of British Industry (CBI),Confederation of British Industry (CBI),,
Confidential Enquiry into Maternal and Child Health (CEMACH),Confidential Enquiry into Maternal and Child Health (CEMACH),,
Congenital Cardiology Today,Congenital Cardiology Today,Congenital Cardiology Today,
CongenitalHeartDefects.com,CongenitalHeartDefects.com,,
Connect,Connect,,
Connecting for Health,Connecting for Health,,
Connexions,Connexions,,
Consequence,Consequence,,
Conservative Party,Conservative Party,,
Consultation Institute,Consultation Institute,,
Consumer Focus Collaboration,Consumer Focus Collaboration,,
Consumers' Health Forum of Australia,Consumers' Health Forum of Australia,,
Consumers in Health Research,,,1
Consumers in NHS Research,,,1
Contact a Family,Contact a Family,,
Contemporary Issues in Communication Science and Disorders,Contemporary Issues in Communication Science and Disorders,,
Continence UK,Continence UK,,
Contra Costa Health Services,Contra Costa Health Services,,
Contraception,Elsevier,Contraception,
Convention of Scottish Local Authorities (COSLA),Convention of Scottish Local Authorities (COSLA),,
Copenhagen: National Board of Health,Copenhagen: National Board of Health,,
CORE,CORE,,
Cornwall Adult Protection Committee,Cornwall Adult Protection Committee,,
Coronary Heart Disease Collaborative,Coronary Heart Disease Collaborative,,
Corporate Training.ie,Corporate Training.ie,,
Cost Effectiveness and Resource Allocation,Cost Effectiveness and Resource Allocation,,
The Council for Exceptional Children,Council for Exceptional Children,,
Council for Regulatory Healthcare Excellence,Council for Regulatory Healthcare Excellence,,
Council of Ethnic Minority Voluntary Sector Organisations (CEMVO),Council of Ethnic Minority Voluntary Sector Organisations (CEMVO),,
"Council on Renal Nutrition, National Kidney Foundation","Council on Renal Nutrition, National Kidney Foundation",,
Councillors Commission,Councillors Commission,,
Counsel and Care,Counsel and Care,,
County Durham and Tees Valley Strategic Health Authority,County Durham and Tees Valley Strategic Health Authority,,
County Durham Primary Care Trust,County Durham Primary Care Trust,,
Coventry University,Coventry University,,
CPD Bulletin Immunology and Allergy,Rila Publications Ltd,CPD Bulletin Immunology and Allergy,
CPPIH,Commission for Patient and Public Involvement in Health,,
CREST,CREST,,
Criminal behaviour and mental health: CBMH,Wiley-Blackwell,Criminal behaviour and mental health,
Criminal Justice and behaviour,Sage Publications,Criminal Justice and behaviour,
Crit Rev Oncol Hematol,Elsevier,Critical Reviews in Oncolology / Hematology,
Critical Appraisal Skills Programme,Critical Appraisal Skills Programme,,
Critical Care,BioMed Central,Critical Care,
Critical Care Medicine,Lippincott Williams and Wilkins,Critical Care Medicine,
Crown Prosecution Service,Crown Prosecution Service,,
Crown; British Thoracic Society; British Infection Society;Health Protection Agency,Department of Health,,
Cruse Bereavement Care,Cruse Bereavement Care,,
CTSNet,CTSNet,,
Cued Speech Association,Cued Speech Association,,
"Culture, Health & Sexuality",Taylor and Francis Group,"Culture, Health and Sexuality",
Cumbria and Lancashire Strategic Health Authority,Cumbria and Lancashire Strategic Health Authority,,
Cumbria County Council,Cumbria County Council,,
"Current Cardiology Reviews, Bentham Science Publishers",Bentham Science Publishers,Current Cardiology Reviews,
Current Controlled Trials Ltd,Current Controlled Trials Ltd,,
Current drug abuse reviews,Bentham Science Publishers,Current drug abuse reviews,
Current Drug Safety,Bentham Science Publishers,Current Drug Safety,
Current HIV research,Bentham Science Publishers,Current HIV research,
Current HIV/AIDS Reports,Springer,Current HIV/AIDS Reports,
Current Medical Research and Opinion,Informa Healthcare,Current Medical Research and Opinion,
Current Medicine Group,,,1
"Current opinion in endocrinology, diabetes, and obesity",Lippincott Williams and Wilkins,"Current opinion in endocrinology, diabetes, and obesity",
Current opinion in HIV and AIDS,Lippincott Williams and Wilkins,Current opinion in HIV and AIDS,
Current opinion in infectious diseases,Lippincott Williams and Wilkins,Current opinion in infectious diseases,
Curr Opin Nephrol Hypertens,Lippincott Williams and Wilkins,Current Opinion in Nephrology and Hypertension,
Current opinion in obstetrics and gynecology,Lippincott Williams and Wilkins,Current opinion in obstetrics and gynecology,
Current Opinion in Oncology,Lippincott Williams and Wilkins,Current Opinion in Oncology,
"Current Opinion in Otolaryngology - Head & Neck Surgery, Lippincott Williams & Wilkins",Lippincott Williams and Wilkins,Current Opinion in Otolaryngology - Head and Neck Surgery,
Current opinion in pediatrics,Lippincott Williams and Wilkins,Current opinion in pediatrics,
Current Opinion in Psychiatry,Lippincott Williams and Wilkins,Current Opinion in Psychiatry,
Current Opinion in Pulmonary Medicine,Lippincott Williams and Wilkins,Current Opinion in Pulmonary Medicine,
Current Opinion in Rheumatology,Lippincott Williams and Wilkins,Current Opinion in Rheumatology,
Current Paediatrics,Elsevier,Current Paediatrics,
Current Psychiatry Reports,Springer,Current Psychiatry Reports,
Current Science,Current Science Association,Current Science,
Current Women's Health Reviews,Bentham Science Publishers,Current Women's Health Reviews,
Curtin,Curtin,,1
CVR/IT Consulting LLC,CVR/IT Consulting LLC,,
Cyclical Vomiting Syndrome Association (CVSA),Cyclical Vomiting Syndrome Association (CVSA),,
Cycling England,Cycling England,,
Cystic Fibrosis Foundation,Cystic Fibrosis Foundation,,
Cystic Fibrosis Trust,Cystic Fibrosis Trust,,
"Czech Republic, National Institute of Public Health","National Institute of Public Health, Czech Republic",,
Daily Dose - drug and alcohol news service,Daily Dose - drug and alcohol news service,,1
Daily Mail,,,1
Dalhousie University,Dalhousie University,,
Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,,
Darlington Primary Care Trust,Darlington Primary Care Trust,,
Data Trace,Data Trace,,
Datapharm Communications,Datapharm Communications,,
David Elpern and Henry Foong,David Elpern and Henry Foong,,
De Montfort University,De Montfort University,,
Deafness Research UK,Deafness Research UK,,
Dementia,,,1
Dementia Care Trust,Dementia Care Trust,,1
Dementia North,Dementia North,,
Dementia Services Development Centre,Dementia Services Development Centre,,
Democratic Health Network,Democratic Health Network,,
Demos,Demos,,
DeNDRoN,DeNDRoN,,1
Dental Assistant,American Dental Assistants Association,Dental Assistant,
Dental Clinics of North America,Elsevier,Dental Clinics of North America,
Dental Materials,Elsevier,Dental Materials,
Dental Traumatology,Wiley-Blackwell,Dental Traumatology,
Dental Update,George Warman Publications (UK) Ltd,Dental Update,
Dentomaxillofacial Radiology,British Institute of Radiology,Dentomaxillofacial Radiology,
Department for Business Enterprise and Regulatory Reform,Department for Business Enterprise and Regulatory Reform,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,
"Department for Children, Schools and Families (DCSF)","Department for Children, Schools and Families (DCSF)",,
"Department for Children, Schools and Families (DCSF) and Department of Health (DH)","Department for Children, Schools and Families ",,
"Department for Children, Schools and Families (DCSF), Department of Health (DH), Sure Start","Department for Children, Schools and Families ",,
"Department for Children, Schools and Families and the Department of Health.","Department for Children, Schools and Families ",,
"Department for Children, Schools and Families, Every Child Matters, Blackpool Council","Department for Children, Schools and Families ",,
Department for Communities and Local Government,Department for Communities and Local Government,,
Department for Constitutional Affairs (DCA),Department for Constitutional Affairs (DCA),,
Department for Education and Skills (DfES),Department for Education and Skills (DfES),,
Department for Education and Skills (DfES) and the Royal National Institute for Deaf People (RNID),Department for Education and Skills (DfES),,
"Department for Health, Social Services and Public Safety (DHSSPS)","Department for Health, Social Services and Public Safety (DHSSPS)",,
"Department for Innovation, Universities and Skills","Department for Innovation, Universities and Skills",,
Department for International Development,Department for International Development,,
Department for Transport,Department for Transport,,
Department for Work and Pensions,Department for Work and Pensions,,
"Department of Adult Nursing, City University","Department of Adult Nursing, City University London",,
"Department of Biological Sciences, University of Delaware","Department of Biological Sciences, University of Delaware",,
"Department of Clinical Social Medicine, University of Heidelberg & Department of Dermatology, University of Erlangen","Department of Clinical Social Medicine, University of Heidelberg ",,
"Department of Dermatology, University of Iowa College of Medicine","Department of Dermatology, University of Iowa College of Medicine",,
"Department of Dermatology, University of Zurich","Department of Dermatology, University of Zurich",,
Department of Energy and Climate Change,Department of Energy and Climate Change,,
"Department of Geography and Geosciences, University of St Andrews et al.","Department of Geography and Geosciences, University of St Andrews ",,
Department of Health,Department of Health,,
Department of Health - World Class Commissioning,Department of Health - World Class Commissioning,,
Department of Health (DH) and Department for Education and Skills (DfES),Department of Health ,,
"Department of Health (DH), Public Health Link",Department of Health ,,
Department of Health (Valuing People Support Team),Department of Health ,,
Department of Health / Inland Revenue,Department of Health,,
"Department of Health and Ageing, Australia","Department of Health and Ageing, Australia",,
Department of Health and Department for Children Schools and Families (DCFS),Department of Health ,,
Department of Health and Department of Education and Science,Department of Health ,,
Department of Health and Home Office,Department of Health,,
"Department of Health, Association of the British Pharmaceutical Industry",Department of Health,,
"Department of Health, Care Service Improvement Partnership",Care Services Improvement Partnership (CSIP),,
"Department of Health, Care Services Improvement Partnership, National Institute for Mental Health in England",Care Services Improvement Partnership (CSIP),,
"Department of Health, DH Care Networks",Department of Health,DH Care Networks,
"Department of Health, NAAPS",Department of Health,,
"Department of Health, NHS Modernisation Agency",Department of Health,,
"Department of Health, Social Services and Public Safety","Department of Health, Social Services and Public Safety (Northern Ireland)",,
Department of Health: Health Inequalities,Department of Health,,
Department of Health; Care Services Improvement Partnership; Integrated Care Network,Care Services Improvement Partnership (CSIP),,
"The Department of Medicines Management, Keele University","Department of Medicines Management, Keele University",,
Department of National Defence Canada,Department of National Defence Canada,,
"Department of Otolaryngology, University of Iowa","Department of Otolaryngology, University of Iowa",,
"Department of Physiology, University of Wisconsin","Department of Physiology, University of Wisconsin",,
Department of Trade and Industry,Department of Trade and Industry,,
Department of Transport,Department for Transport,,
Department of Work and pensions,Department of Work and Pensions,,
Depression Alliance,Depression Alliance,,
Depression Alliance and Sane,Depression Alliance ,,
"Dept of Paediatric Neurosciences, Frenchay Hospital, England","Department of Paediatric Neurosciences, Frenchay Hospital",,
Dermatology Online Journal,California Digital Library,Dermatology Online Journal,
Dermatology.co.uk,Dermatology.co.uk,,
Dermis.net,Dermis.net,,
"DermNet NZ, New Zealand Dermatological Society",New Zealand Dermatological Society,DermNet NZ,
"Dermnet.com, Interactive Medical Media LLC",Interactive Medical Media LLC,Dermnet.com,
Design Council,Design Council,,
DESMOND Project,DESMOND Project,,
DETERMINE,DETERMINE,,
Deutsche Medizinische Wochenscrift,Thieme,Deutsche Medizinische Wochenscrift,
Development and Learning in Organizations,Emerald Insight,Development and Learning in Organizations,
Development and psychopathology,Cambridge University Press,Development and Psychopathology,
Developmental Medicine and Child Neurology,Wiley-Blackwell,Developmental Medicine and Child Neurology,
Devon County Council,Devon County Council,,
DH Care Networks,Department of Health,DH Care Networks,
DH Care Networks - Commissioning,Department of Health,DH Care Networks - Commissioning,
DH Commissioning and System Management Directorate,Department of Health,DH Commissioning and System Management Directorate,
DH/Health and Social Care Information Centre/NHS Employers,Department of Health,,
Diabetes,American Diabetes Association,Diabetes,
Diabetes and Metabolism,Elsevier,Diabetes and Metabolism,
The Diabetes and Nutrition Study Group of the European Association for the Study of Diabetes,European Association for the Study of Diabetes (EASD),Diabetes and Nutrition Study Group,
Diabetes and Primary Care,Diabetes and Primary Care,,
Diabetes Australia,Diabetes Australia,,
"Diabetes Care, American Diabetes Association",American Diabetes Association,Diabetes Care,
Diabetes Digest,SB Communications Group,Diabetes Digest,
The Diabetes Education Network,Diabetes Education Network,,
Diabetes Education Study Group (DESG) of the European Association for the Study of Diabetes (EASD),European Association for the Study of Diabetes (EASD),Diabetes Education Study Group (DESG),
Diabetes Educator,Sage Publications,Diabetes Educator,
Diabetes Obesity and Metabolism,Wiley-Blackwell,Diabetes Obesity and Metabolism,
The diabetes prevention directory,Diabetes Prevention Directory,,
Diabetes UK,Diabetes UK,,
"Diabetes UK, NHS National Diabetes Support Team, Department of Health",Diabetes UK,,
"Diabetes UK, NHS National Diabetes Support Team, Department of Health, Health Foundation",Diabetes UK,,
Diabetes/Metabolism Research and Reviews,Wiley-Blackwell,Diabetes/Metabolism Research and Reviews,
Diabetic Foot,SB Communications Group,Diabetic Foot,
Diabetic Medicine,Wiley-Blackwell,Diabetic Medicine,
Diabetic Retinopathy Programme,National Screening Programme for Diabetic Retinopathy,,
Diabetologia,Springer,Diabetologia,
Dialogue by Design,Dialogue by Design,,
Diamond Blackfan Anaemia Support Group,Diamond Blackfan Anaemia Support Group,,
Dietitians Association of Australia,Dietitians Association of Australia,,
Different Strokes,Different Strokes,,
Difficult Airway Society (DAS),Difficult Airway Society (DAS),,
Digestive and liver disease,Elsevier,Digestive and Liver Disease,
Digestive Disorders Foundation,Digestive Disorders Foundation,,
Dignity in Care,Dignity in Care,,
Dimensions,Dimensions,,
DIPEx- Database of Individual Patient Experiences,Healthtalkonline,,
DirectGov,DirectGov,,
Disability and Rehabilitation,Informa Healthcare,Disability & Rehabilitation,
Disability and Society,Taylor and Francis Group,Disability & Society,
Disability Rights Commission,Disability Rights Commission,,
"Disability, Pregnancy and Parenthood International","Disability, Pregnancy & Parenthood International","Disability, Pregnancy & Parenthood International",
Disabled Living Foundation (DLF),Disabled Living Foundation (DLF),,
Discern,Discern,,
Disease markers,IOS Press,Disease Markers,
Dissertation Abstracts International,Dissertation Abstracts International,,1
Distance Consulting,Distance Consulting,,
Diversity Hub,Diversity Hub,,
Diversity in Health and Social Care,Radcliffe Publishing,Diversity in Health and Social Care,
"Division of Dermatology, Washington University School of Medicine","Division of Dermatology, Washington University School of Medicine",,
Dolan DNA Learning Center,Dolan DNA Learning Center,,
"Donna M. D'Alessandro, M.D. and Michael P. D'Alessandro, M.D.","Donna M. D'Alessandro, M.D. and Michael P. D'Alessandro, M.D.",,
DOPPS,Arbor Research Collaborative for Health,Dialysis Outcomes and Practice Patterns Study (DOPPS),
Dorothy A. Johnson Center for Philanthropy & Nonprofit Leadership,Dorothy A. Johnson Center for Philanthropy and Nonprofit Leadership,,
Dose Adjustment For Normal Eating (DAFNE),Dose Adjustment For Normal Eating (DAFNE),,
Doshi J,Doshi J,,
Dowden health media,Dowden health media,,
Dowden Publishing,Dowden health media,,
Down Syndrome Education International,Down Syndrome Education International,,
Down's Syndrome Association (DSA),Down's Syndrome Association (DSA),,
The Down's Syndrome Medical Interest Group,Down's Syndrome Medical Interest Group,,
Down's Syndrome Screening Programme,Down's Syndrome Screening Programme,,
Dr Chris Thompson,Dr Chris Thompson,,
Dr Foster Intelligence,Dr Foster Intelligence,,
Dr Jonathan Bowling,Dr Jonathan Bowling,,
Driver and Vehicle Licensing Agency (DVLA),Driver and Vehicle Licensing Agency (DVLA),,
Drug and alcohol dependence,Elsevier,Drug and alcohol dependence,
Drug and alcohol review,Informa Healthcare,Drug and alcohol review,
Drug and Therapeutics Bulletin (DTB),Drug and Therapeutics Bulletin (DTB),,
"Drug Policy Modelling Program, The University of New South Wales, Australia","Drug Policy Modelling Program, The University of New South Wales, Australia",,
Drug safety,Adis International,Drug safety,
Drugs,Adis International,Drugs,
Drugs.Aging,Adis International,Drugs and Aging,
DrugScope,DrugScope,,
DTI,Department of Trade and Industry,,
Duffill M,New Zealand Dermatological Society,DermNet NZ,
"Duke University Medical School, USA","Duke University Medical School, USA",,
"Durham University School of Applied Social Sciences, Department of Health and Department for Education and Skills",Durham University School of Applied Social Sciences ,,
Dustri-Verlag Dr. K. Feistle,Dustri-Verlag ,International Journal of Clinical Pharmacology and Therapeutics,
Dutch College of General Practitioners (NHG),Dutch College of General Practitioners (NHG),,
"Dysphagia, Springer",Springer,Dysphagia,
E.R.I.C.,E.R.I.C.,,1
"E+M Ekonomics and Management, Liberec",Technical University of Liberec,E+M Ekonomics and Management,
e2000 Conference Proceedings,,,1
"Ealing Hospital, University of Cambridge",,,1
"Ear and Hearing, Lippincott Williams and Wilkins",Lippincott Williams and Wilkins,Ear and Hearing,
The Ear Foundation,Ear Foundation,,
Early Support,Early Support,,
Early Support and Ear Foundation,Early Support,,
East and South East England Specialist Pharmacy Services,"London, Eastern and South East Specialist Pharmacy Services",,
East Lancs Foot and Ankle Service,East Lancs Foot and Ankle Service,,
East Midlands Public Health Observatory (EMPHO),East Midlands Public Health Observatory (EMPHO),,
East Midlands Quality Observatory,East Midlands Quality Observatory,,
East Midlands Renal Network,East Midlands Renal Network,,
East Midlands Strategic Health Authority,East Midlands Strategic Health Authority,,
East of England Specialised Commissioning Group,East of England Specialised Commissioning Group,,
East Sussex Downs & Weald PCT,East Sussex Downs and Weald PCT,,
"East Sussex, Brighton and Hove HA","East Sussex, Brighton and Hove HA",,
Eastern Association for the Surgery of Trauma,Eastern Association for the Surgery of Trauma,,
Eastern Region Public Health Observatory (ERPHO),Eastern Region Public Health Observatory (ERPHO),,
Easy Health,Easy Health,,
Easyinfo.org.uk,Easyinfo.org.uk,,
ebDerm.org,ebDerm.org,,
EBM Guidelines,EBM Guidelines,,
ebme.co.uk,ebme.co.uk,,
Economic and Social Research Council,Economic and Social Research Council,,
Economic and Social Research Foundation,Economic and Social Research Foundation,,
Economic Trends,Palgrave Publishers Ltd,Economic Trends,
The Economist Group,Economist Group,,
Economist Intelligence Unit,Economist Intelligence Unit,,
ECORN-CF,,Expert Advice on Cystic Fibrosis,1
ECOTEC Research and Consulting,ECOTEC Research and Consulting,,
ECRI Institute (USA),ECRI Institute (USA),,
e-derm-consult Gmbh,e-derm-consult ,,
Edition Medecine Et Hygiene,Edition Medecine Et Hygiene,,
Edkins Family,,,1
"EDRA S.p.A., Italy",EDRA S.p.A.,,
EdRen Handbook (Edinburght Renal Unit),Royal Infirmary of Edinburgh Renal Unit,EdRen Handbook,
EdRen Info (Edinburgh Renal Unit),Royal Infirmary of Edinburgh Renal Unit,EdRenInfo,
EDTNA/ERCA,EDTNA/ERCA,,
Education and Resources for Improving Childhood Continence,Education and Resources for Improving Childhood Continence,,
Education for Health,Education for Health,,
Educational Technology and Society,International Forum of Educational Technology & Society,Educational Technology & Society,
EffectiveOlderPeopleCare.org,EffectiveOlderPeopleCare.org,,
E-Health Insider,E-Health Insider,,
"EISS, University of Kent at Canterbury","EISS, University of Kent at Canterbury",,
Elderly Accommodation Counsel,Elderly Accommodation Counsel,,
e-Learning for Healthcare,e-Learning for Healthcare,,
Electoral Commission,Electoral Commission,,
Electronic Journal of Academic and Special Librarianship,International Consortium for the Advancement of Academic Publication (ICAAP),Electronic Journal of Academic and Special Librarianship,
Electronic Journal of e-Learning,Academic Conferences Ltd,Electronic Journal of e-Learning,
Electronic Journal of Knowledge Management - Academic Conferences Ltd,Academic Conferences Ltd,Electronic Journal of Knowledge Management ,
electronic Knowledge Access Team (eKAT),electronic Knowledge Access Team (eKAT),,
The Elfrida Society,Elfrida Society,,
Elsevier,Elsevier,,
eMC (electronic Medicines Compendium),electronic Medicines Compendium (eMC),,
The electronic Medicines Compendium (eMC),electronic Medicines Compendium (eMC),,
"eMedicine, WebMD",WebMD,eMedicine,
Emerald,Emerald Insight,,
Emergency Management Portal,Emergency Management Portal,,
Emergency Medicine,Quadrant HealthCom Inc,Emergency Medicine,
Emergency Medicine Australasia,Wiley-Blackwell,Emergency Medicine Australasia,
"Emergency Medicine Journal, BMJ Publishing Group",BMJ Group,Emergency Medicine Journal,
Emergency Medicine Society of South Africa,Emergency Medicine Society of South Africa,,
Emergency Planning College (EPC),Emergency Planning College (EPC),,
Emerging Infectious Diseases,Centers for Disease Control and Prevention,Emerging Infectious Diseases,
EMR Bank,EMR Bank,,
Encephalitis Information Resource,Encephalitis Information Resource,,
"End of Life Care Programme, Department of Health",Department of Health,End of Life Care Programme,
"Endocrine Practice, American College of Endocrinology and the American Association of Clinical Endocrinologists",American College of Endocrinology and the American Association of Clinical Endocrinologists,Endocrine Practice,
Endocrine Society,Endocrine Society,,
The Endocrine Society,Endocrine Society,,
EndocrineSurgeon.co.uk,EndocrineSurgeon.co.uk,,
Endocrinology and metabolism clinics of North America,Elsevier,Endocrinology & metabolism clinics of North America,
Engineering Education: Journal of the Higher Education Academy Engineering Subject Centre,The Higher Education Academy Engineering Subject Centre,Engineering Education: Journal of the Higher Education Academy Engineering Subject Centre,
English Secondary Students' Association,English Secondary Students' Association,,
Enigma,Information Facilities Management Ltd,i-FM,
"Enquiry Learning Unit, Manchester Metropolitan University","Enquiry Learning Unit, Manchester Metropolitan University",,
ENT UK,ENT UK,,
ENT UK - British Association of Otorhinolaryngologists - Head and Neck Surgeons (BAO-HNS),ENT UK,,
ENT USA,ENT USA,,
Entovation International News,,,1
Environmental Health,BioMed Central,Environmental Health,
Environmental Health Perspectives,National Institute of Environmental Health Sciences,Environmental Health Perspectives,
EP Global Communications,EP Global Communications,,
Epidemiologia e psichiatria sociale,Il Pensiero Scientifico,Epidemiologia e psichiatria sociale,
Epidemiologic reviews,Oxford University Press,Epidemiologic reviews,
Epidemiology,Lippincott Williams and Wilkins,Epidemiology,
Epilepsia,Wiley-Blackwell,Epilepsia,
Epilepsy & Behavior,Elsevier,Epilepsy and Behavior,
Epilepsy Action,Epilepsy Action,,
Epilepsy Action (UK),Epilepsy Action,,
Epilepsy Research Foundation,Epilepsy Research Foundation,,
EPPI-Centre,Evidence for Policy and Practice Information and Co-ordinating Centre (EPPI-Centre),,
Equality and Human Rights Commission,Equality and Human Rights Commission,,
Equality Network,Equality Network,,
Equilibrium,Equilibrium,,
EQUIP,EQUIP,,
ERA-EDTA,ERA-EDTA,,
ERA-EDTA in collaboration with Renal Pathology Society,ERA-EDTA,,
ERA-EDTA Registry,,,
"Ergonomics, Taylor and Francis Group",Taylor and Francis Group,Ergonomics,
Ernst and Young,Ernst and Young,,
Estia Centre,Estia Centre,,
Ethnicity and Disease,Allen Press Online Publishing,Ethnicity & Disease,
Ethnicity and Health ,Taylor and Francis Group,Ethnicity & Health ,
Ethnicity and Inequalities in Health and Social Care,Ethnicity and Inequalities in Health and Social Care,,
Etienne Wenger,Healthcare Forum,Healthcare Forum Journal,
EULAR (European League Against Rheumatism),EULAR (European League Against Rheumatism),,
Euro Surveillance,Euro Surveillance,,
EUROCARE,EUROCARE,,
EUROCAT (European Concerted Action on Congenital Anomalies and Twins),EUROCAT (European Concerted Action on Congenital Anomalies and Twins),,
EuroGentest,EuroGentest,,
Eurohealth,Eurohealth,,
EuroHealthNet,EuroHealthNet,,
Europa Medicophysica,Edizioni Minerva Medica,Europa Medicophysica,
European Academy of Allergology and Clinical Immunology,European Academy of Allergology and Clinical Immunology,,
European addiction research,Karger,European Addiction Research,
European Agency for Safety and Health at Work,European Agency for Safety and Health at Work,,
European and Mediterranean Conference on Information Systems,European and Mediterranean Conference on Information Systems,,
"European Archives of Otorhinolaryngology, Springer",Springer,European Archives of Otorhinolaryngology,
European Archives of Paediatric Dentistry,European Academy of Paediatric Dentistry,European Archives of Paediatric Dentistry,
European Association for Palliative Care,European Association for Palliative Care,,
European Association of Cardio-Thoracic Surgery,European Association of Cardio-Thoracic Surgery,,
European Association of Urology (EAU),European Association of Urology (EAU),,
European Association of Urology Nurses (EAUN),European Association of Urology Nurses (EAUN),,
European Best Practice Guidelines Expert Group on Renal Transplantation,European Best Practice Guidelines Expert Group on Renal Transplantation,,
European Cells & Materials,AO Foundation,European Cells and Materials,
European Centre for Disease Prevention and Control,European Centre for Disease Prevention and Control,,
European Commission,European Commission,,
The European Commission ,European Commission,,
European Commission. Enterprise and Industry,European Commission,Enterprise and Industry,
European Committee for Standardization,European Committee for Standardization,,
European Crohn's & Colitis Organisation,European Crohn's and Colitis Organisation,,
European Dermato-Epidemiology Network (EDEN),European Dermato-Epidemiology Network (EDEN),,
European Federation of Neurological Societies,European Federation of Neurological Societies,,
